                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5635,                 1.9626,                 1.4952,                0.56652,                0.57817,                 0.5627,                0.28788,                 1.5316,                 1.3231,                 1.5363,             0.00020723,             0.00020723,             0.00020723
                      2,                 1.4603,                 1.2381,                 1.3933,                0.62775,                0.60578,                0.60652,                0.31462,                 1.5384,                 1.2737,                 1.5537,             0.00039499,             0.00039499,             0.00039499
                      3,                 1.4389,                 1.1649,                 1.3827,                 0.6033,                0.59213,                0.59648,                0.31199,                 1.5253,                 1.2543,                 1.5296,             0.00056213,             0.00056213,             0.00056213
                      4,                 1.4198,                 1.1218,                 1.3569,                0.59306,                0.61509,                0.63834,                0.34398,                 1.4747,                 1.1413,                 1.4997,             0.00053219,             0.00053219,             0.00053219
                      5,                 1.3925,                 1.0682,                  1.339,                0.65846,                 0.6288,                0.65294,                0.35408,                 1.4498,                 1.0776,                  1.471,             0.00053219,             0.00053219,             0.00053219
                      6,                 1.3592,                 1.0247,                 1.3269,                0.69001,                 0.6376,                0.67349,                0.37417,                 1.4321,                 1.0401,                 1.4524,             0.00050125,             0.00050125,             0.00050125
                      7,                 1.3463,                0.99584,                 1.3154,                0.70538,                0.65746,                0.69322,                0.38555,                 1.4213,                 1.0278,                 1.4413,             0.00047031,             0.00047031,             0.00047031
                      8,                 1.3101,                0.95321,                 1.2968,                0.64626,                0.65443,                0.66719,                0.37505,                 1.4085,                0.99383,                 1.4261,             0.00043937,             0.00043937,             0.00043937
                      9,                 1.2864,                0.91873,                 1.2851,                0.71568,                0.67425,                0.71276,                0.40879,                 1.3772,                  0.936,                 1.4076,             0.00040844,             0.00040844,             0.00040844
                     10,                 1.2836,                 0.8909,                  1.268,                0.73401,                 0.6864,                0.73319,                0.41997,                 1.3756,                0.89851,                 1.3954,              0.0003775,              0.0003775,              0.0003775
                     11,                 1.3034,                0.85686,                 1.3102,                0.70612,                0.70557,                0.73038,                0.42055,                 1.3564,                0.88138,                 1.3863,             0.00034656,             0.00034656,             0.00034656
                     12,                 1.2725,                0.80163,                 1.2904,                0.76857,                0.69302,                0.74787,                0.43328,                 1.3572,                0.86398,                  1.379,             0.00031562,             0.00031562,             0.00031562
                     13,                 1.2484,                0.78375,                 1.2761,                 0.7425,                0.71543,                0.75266,                0.44264,                 1.3457,                0.84381,                 1.3713,             0.00028469,             0.00028469,             0.00028469
                     14,                 1.2337,                0.74579,                 1.2633,                0.76324,                0.70951,                0.75458,                 0.4445,                  1.329,                0.83218,                 1.3592,             0.00025375,             0.00025375,             0.00025375
                     15,                 1.2188,                0.73157,                 1.2529,                0.78339,                0.71578,                0.76781,                0.45384,                 1.3205,                 0.8208,                 1.3455,             0.00022281,             0.00022281,             0.00022281
                     16,                 1.1894,                0.70157,                 1.2306,                0.77607,                0.71999,                0.77446,                 0.4599,                 1.3062,                0.79225,                 1.3392,             0.00019188,             0.00019188,             0.00019188
                     17,                 1.1646,                0.67839,                 1.2127,                0.77631,                0.73601,                0.78241,                0.46761,                 1.3033,                0.77732,                 1.3353,             0.00016094,             0.00016094,             0.00016094
                     18,                  1.144,                  0.649,                  1.197,                0.79211,                0.73373,                0.78635,                0.46997,                 1.2936,                0.76858,                 1.3252,                0.00013,                0.00013,                0.00013
                     19,                 1.1252,                0.63105,                 1.1898,                0.79131,                0.73604,                0.78739,                0.47306,                 1.2904,                0.76245,                 1.3246,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     20,                 1.1099,                0.61807,                 1.1785,                0.79178,                0.74331,                0.79083,                0.47917,                 1.2793,                0.75249,                 1.3164,             6.8125e-05,             6.8125e-05,             6.8125e-05
